"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00427924","1981-11-17","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-18","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   84",",,0,1800","   51",",,0","   51",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-19","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","   51",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-20","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","   25",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-21","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0","T,,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-22","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-23","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   53",",,0,1800","   38",",,0","   51",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-24","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   10",",,0,1800","    8",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-25","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  180",",,0,1800","  178",",,0","  178",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-26","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","  152",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-27","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   46",",,0,1800","   38",",,0","  178",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-28","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  122",",,0,1800","  127",",,0","  305",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-29","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","  279",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-30","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   33",",,0,1800","   33",",,0","  305",",I,0",,,,,,,,,,,,,,
